TDP,air_velocity,tim_conductivity,thermal_resistance,junction_temperature
30,0.5,1,0.4421804040593512,38.265412121780535
30,0.5,2,0.42101638289533005,37.6304914868599
30,0.5,3,0.41396170917398967,37.418851275219694
30,0.5,4,0.4104343723133195,37.313031169399586
30,0.5,5,0.4083179701969174,37.24953910590752
30,0.5,6,0.4069070354526493,37.20721106357948
30,0.5,7,0.40589922492102926,37.176976747630874
30,0.5,8,0.40514336702231424,37.15430101066943
30,0.5,9,0.40455547754553584,37.13666432636607
30,0.5,10,0.40408516596411315,37.1225549789234
30,0.5,11,0.40370036557931277,37.111010967379386
30,0.5,12,0.4033796985919791,37.10139095775937
30,1.0,1,0.40095096695334687,37.02852900860041
30,1.0,2,0.3797869457893257,36.39360837367977
30,1.0,3,0.3727322720679853,36.18196816203956
30,1.0,4,0.3692049352073151,36.07614805621945
30,1.0,5,0.36708853309091294,36.01265599272739
30,1.0,6,0.3656775983466449,35.97032795039935
30,1.0,7,0.36466978781502485,35.94009363445075
30,1.0,8,0.3639139299163098,35.917417897489294
30,1.0,9,0.36332604043953143,35.899781213185946
30,1.0,10,0.36285572885810874,35.88567186574326
30,1.0,11,0.36247092847330836,35.87412785419925
30,1.0,12,0.36215026148597473,35.864507844579244
30,1.5,1,0.3808979305400467,36.4269379162014
30,1.5,2,0.35973390937602556,35.79201728128076
30,1.5,3,0.3526792356546852,35.580377069640555
30,1.5,4,0.349151898794015,35.47455696382045
30,1.5,5,0.3470354966776128,35.411064900328384
30,1.5,6,0.3456245619333448,35.36873685800035
30,1.5,7,0.3446167514017247,35.33850254205174
30,1.5,8,0.34386089350300963,35.31582680509029
30,1.5,9,0.3432730040262313,35.29819012078694
30,1.5,10,0.3428026924448086,35.28408077334426
30,1.5,11,0.3424178920600082,35.27253676180025
30,1.5,12,0.3420972250726746,35.26291675218024
30,2.0,1,0.36822714103628273,36.04681423108848
30,2.0,2,0.34706311987226157,35.41189359616784
30,2.0,3,0.3400084461509212,35.200253384527635
30,2.0,4,0.336481109290251,35.09443327870753
30,2.0,5,0.3343647071738488,35.030941215215464
30,2.0,6,0.3329537724295808,34.988613172887426
30,2.0,7,0.3319459618979607,34.95837885693882
30,2.0,8,0.33119010399924564,34.93570311997737
30,2.0,9,0.3306022145224673,34.91806643567402
30,2.0,10,0.3301319029410446,34.90395708823134
30,2.0,11,0.32974710255624423,34.892413076687326
30,2.0,12,0.3294264355689106,34.88279306706732
30,2.5,1,0.3592024124732587,35.77607237419776
30,2.5,2,0.3380383913092375,35.14115173927713
30,2.5,3,0.33098371758789713,34.92951152763691
30,2.5,4,0.32745638072722694,34.823691421816804
30,2.5,5,0.32533997861082475,34.76019935832474
30,2.5,6,0.3239290438665567,34.7178713159967
30,2.5,7,0.32292123333493666,34.6876370000481
30,2.5,8,0.3221653754362216,34.664961263086646
30,2.5,9,0.32157748595944324,34.6473245787833
30,2.5,10,0.32110717437802055,34.633215231340614
30,2.5,11,0.3207223739932202,34.6216712197966
30,2.5,12,0.3204017070058865,34.612051210176595
30,3.0,1,0.3523110354874681,35.569331064624045
30,3.0,2,0.33114701432344695,34.934410429703405
30,3.0,3,0.32409234060210657,34.7227702180632
30,3.0,4,0.32056500374143637,34.61695011224309
30,3.0,5,0.3184486016250343,34.553458048751025
30,3.0,6,0.3170376668807662,34.51113000642299
30,3.0,7,0.31602985634914615,34.480895690474384
30,3.0,8,0.3152739984504311,34.45821995351293
30,3.0,9,0.31468610897365273,34.44058326920958
30,3.0,10,0.31421579739223005,34.4264739217669
30,3.0,11,0.31383099700742967,34.41492991022289
30,3.0,12,0.313510330020096,34.40530990060288
